"","variable","Heuchera_brevistaminea"
"1",300,0.0833333333333333333333333333333333333333333333
"2",629,0.0833333333333333333333333333333333333333333333
"3",614,0.0833333333333333333333333333333333333333333333
"4",639,0.0833333333333333333333333333333333333333333333
"5",623,0.0833333333333333333333333333333333333333333333
"6",580,0.0833333333333333333333333333333333333333333333
"7",635,0.0833333333333333333333333333333333333333333333
"8",605,0.0833333333333333333333333333333333333333333333
"9",648,0.0833333333333333333333333333333333333333333333
"10",586,0.0833333333333333333333333333333333333333333333
"11",632,0.0833333333333333333333333333333333333333333333
"12",676,0.0833333333333333333333333333333333333333333333
