"","variable","Mitella_diphylla_avg"
"1",5.25,0.0066957342013637
"2",17.7551020408163,0.301594846723528
"3",30.2602040816327,0.293678391754342
"4",42.765306122449,0.187827935302206
"5",55.2704081632653,0.13715980268666
"6",67.7755102040816,0.0492033712115869
"7",80.280612244898,0.0158760369664
"8",92.7857142857143,0.00472815448118564
"9",105.290816326531,0.00223508457202192
"10",117.795918367347,0.000732360038823773
"11",130.301020408163,0.00025986647319224
"12",142.80612244898,8.41558868953148e-06
"13",155.311224489796,0
"14",167.816326530612,0
"15",180.321428571429,0
"16",192.826530612245,0
"17",205.331632653061,0
"18",217.836734693878,0
"19",230.341836734694,0
"20",242.84693877551,0
"21",255.352040816327,0
"22",267.857142857143,0
"23",280.362244897959,0
"24",292.867346938776,0
"25",305.372448979592,0
"26",317.877551020408,0
"27",330.382653061225,0
"28",342.887755102041,0
"29",355.392857142857,0
"30",367.897959183673,0
"31",380.40306122449,0
"32",392.908163265306,0
"33",405.413265306122,0
"34",417.918367346939,0
"35",430.423469387755,0
"36",442.928571428571,0
"37",455.433673469388,0
"38",467.938775510204,0
"39",480.44387755102,0
"40",492.948979591837,0
"41",505.454081632653,0
"42",517.959183673469,0
"43",530.464285714286,0
"44",542.969387755102,0
"45",555.474489795918,0
"46",567.979591836735,0
"47",580.484693877551,0
"48",592.989795918367,0
"49",605.494897959184,0
"50",618,0
