"","variable","Heuchera_missouriensis_avg"
"1",5.75,3.81343612903527e-06
"2",7.82142857142857,6.16590825284336e-05
"3",9.89285714285714,0.0014366111826146
"4",11.9642857142857,0.0127146629792847
"5",14.0357142857143,0.0217056127336164
"6",16.1071428571429,0.0363809109753313
"7",18.1785714285714,0.0822958857886705
"8",20.25,0.136097865715232
"9",22.3214285714286,0.174183556475568
"10",24.3928571428571,0.140382792872677
"11",26.4642857142857,0.158949412000201
"12",28.5357142857143,0.0979256388644155
"13",30.6071428571429,0.0607212638400293
"14",32.6785714285714,0.0400373656067964
"15",34.75,0.0193868496327751
"16",36.8214285714286,0.00753368736817925
"17",38.8928571428571,0.00464186101632084
"18",40.9642857142857,0.00275830787308081
"19",43.0357142857143,0.00142875969572471
"20",45.1071428571429,0.000709577164939864
"21",47.1785714285714,0.000249944196126683
"22",49.25,0.000154908567135411
"23",51.3214285714286,8.28547264911903e-05
"24",53.3928571428571,4.8398330234684e-05
"25",55.4642857142857,3.70665423991754e-05
"26",57.5357142857143,1.57892562611798e-05
"27",59.6071428571429,1.42574082444434e-05
"28",61.6785714285714,5.77135758578211e-06
"29",63.75,4.7332476442642e-06
"30",65.8214285714286,5.47509148084662e-06
"31",67.8928571428571,6.00507754405911e-06
"32",69.9642857142857,7.1434477146344e-06
"33",72.0357142857143,1.44705910096595e-06
"34",74.1071428571429,2.1894422734165e-06
"35",76.1785714285714,4.20978536261566e-07
"36",78.25,2.89027196103778e-06
"37",80.3214285714286,1.81128786722735e-07
"38",82.3928571428572,9.62971474807882e-07
"39",84.4642857142857,1.10997068516109e-06
"40",86.5357142857143,2.35662420517546e-06
"41",88.6071428571429,0
"42",90.6785714285714,0
"43",92.75,0
"44",94.8214285714286,0
"45",96.8928571428572,0
"46",98.9642857142857,0
"47",101.035714285714,0
"48",103.107142857143,0
"49",105.178571428571,0
"50",107.25,0
