"","variable","Heuchera_micrantha_avg"
"1",2.25,0.00179635847866082
"2",12.1581632653061,0.0588887035679091
"3",22.0663265306122,0.121541216897571
"4",31.9744897959184,0.173462045504804
"5",41.8826530612245,0.183175347689102
"6",51.7908163265306,0.116494875870983
"7",61.6989795918367,0.0765294328228634
"8",71.6071428571429,0.0710511671638428
"9",81.515306122449,0.0567772943782159
"10",91.4234693877551,0.0445578993410935
"11",101.331632653061,0.0324936416464602
"12",111.239795918367,0.0242968666451018
"13",121.147959183673,0.0178927174677444
"14",131.05612244898,0.0115346356704884
"15",140.964285714286,0.00525316323070817
"16",150.872448979592,0.00253244217179801
"17",160.780612244898,0.00102285883137545
"18",170.688775510204,0.000387331540536777
"19",180.59693877551,0.000198814615605955
"20",190.505102040816,7.98085271999103e-05
"21",200.413265306122,3.33779379358095e-05
"22",210.321428571429,0
"23",220.229591836735,0
"24",230.137755102041,0
"25",240.045918367347,0
"26",249.954081632653,0
"27",259.862244897959,0
"28",269.770408163265,0
"29",279.678571428571,0
"30",289.586734693878,0
"31",299.494897959184,0
"32",309.40306122449,0
"33",319.311224489796,0
"34",329.219387755102,0
"35",339.127551020408,0
"36",349.035714285714,0
"37",358.94387755102,0
"38",368.852040816327,0
"39",378.760204081633,0
"40",388.668367346939,0
"41",398.576530612245,0
"42",408.484693877551,0
"43",418.392857142857,0
"44",428.301020408163,0
"45",438.209183673469,0
"46",448.117346938775,0
"47",458.025510204082,0
"48",467.933673469388,0
"49",477.841836734694,0
"50",487.75,0
